co_ies;ies_censo;grupo;uf_censo;co_mantenedora;mantenedora;cnpj;natureza_juridica;ies_emec;sigla;endereco_sede;municipio;uf;organizacao;credenciamento;categoria;ci;ci_ead;igc;sinalizacoes;situacao
1468;FACULDADE ESAMC UBERLÂNDIA;Independentes;MG;970;IDEA - INSTITUTO DE DESENVOLVIMENTO EDUCACIONAL AVANCADO LTDA;03.158.213/0001-34;Privada com fins lucrativos;FACULDADE ESAMC UBERLÂNDIA (ESAMC);ESAMC;Avenida Vasconcelos Costa - 270 - CEP: 38400-448 - Martins;Uberlândia;MG;Faculdade;Presencial - Superior;Privada;3;;3;;Ativa
1591;FACULDADE ESTÁCIO MACAPÁ - ESTÁCIO MACAPÁ;YDUQS;AP;1043;SOCIEDADE EDUCACIONAL DA AMAZONIA LTDA;03.065.816/0001-91;Privada com fins lucrativos;FACULDADE ESTÁCIO MACAPÁ - ESTÁCIO MACAPÁ (ESTÁCIO MACAPÁ);ESTÁCIO MACAPÁ;Avenida José Tupinanbá de Almeida - 1223 - CEP: 68908-126 - Jesus de Nazaré;Macapá;AP;Faculdade;Presencial - Superior;Privada;4;;2;;Ativa
18651;Unama Faculdade da Amazônia de Boa Vista;Ser Educacional;RR;1847;SER EDUCACIONAL S.A.;04.986.320/0001-13;Privada com fins lucrativos;Unama Faculdade da Amazônia de Boa Vista (UNAMA);UNAMA;Av. Ville Roy - 1672 - CEP: 69307-725 - Caçari;Boa Vista;RR;Faculdade;Presencial - Superior;Privada;3;;2;;Ativa
25275;UNIVERSIDADE FEDERAL DO AGRESTE DE PERNAMBUCO;Independentes;PE;17817;UNIVERSIDADE FEDERAL DO AGRESTE DE PERNAMBUCO - UFAPE;35.872.812/0001-01;Pessoa Jurídica de Direito Público - Federal;UNIVERSIDADE FEDERAL DO AGRESTE DE PERNAMBUCO (UFAPE );UFAPE;Avenida Bom Pastor - S/N - CEP: 55292-270 - Boa Vista;Garanhuns;PE;Universidade;Presencial - Superior;Publica;5;;4;;Ativa
4656;FACULDADE ANHANGÜERA DE PIRACICABA;Cogna;SP;16452;ANHANGUERA EDUCACIONAL PARTICIPACOES S/A;04.310.392/0001-46;Privada com fins lucrativos;FACULDADE ANHANGÜERA DE PIRACICABA;-;Rua Santa Catarina - 1.005 - CEP: 13425-075 - Piracicamirim;Piracicaba;SP;Faculdade;Presencial - Superior;Privada;4;;3;;Ativa
2426;Centro Universitário Fibra;Independentes;PA;1578;FACULDADES INTEGRADAS BRASIL AMAZONIA S/S LTDA;04.236.516/0001-90;Privada com fins lucrativos;Centro Universitário Fibra (UNIFIBRA);UNIFIBRA;Avenida Generalíssimo Deodoro - 1532 - CEP: 66035-090 - Nazaré;Belém;PA;Centro Universitário;EAD - Superior / Presencial - Superior /;Privada;5;5;4;;Ativa
1128;UNIVERSIDADE DE ITAÚNA;Independentes;MG;227;FUNDACAO UNIVERSIDADE DE ITAUNA;21.256.425/0001-36;Privada sem fins lucrativos;UNIVERSIDADE DE ITAÚNA (UI);UI;Rodovia Mg 431 Km 45 - s/n - CEP: 35680-142 - Campus Verde;Itaúna;MG;Universidade;Presencial - Superior;Privada;3;4;3;;Ativa
2745;CENTRO UNIVERSITÁRIO DA AMAZÔNIA;Independentes;PA;3610;ESCOLA SUPERIOR DA AMAZONIA S/C LTDA - ESAMAZ;05.118.130/0001-47;Privada com fins lucrativos;CENTRO UNIVERSITÁRIO DA AMAZÔNIA (UNIESAMAZ);UNIESAMAZ;Travessa São Pedro - 544 - CEP: 66023-570 - Batista Campos;Belém;PA;Centro Universitário;EAD - Superior / Presencial - Superior /;Privada;4;4;3;;Ativa
1758;FACULDADE INDEPENDENTE DO NORDESTE;Independentes;BA;1163;FAINOR FACULDADE INDEPENDENTE DO NORDESTE LTDA;03.262.477/0001-33;Privada com fins lucrativos;FACULDADE INDEPENDENTE DO NORDESTE (FAINOR);FAINOR;Avenida Luís Eduardo Magalhães - 1305 - CEP: 45028-440 - Candeias;Vitória da Conquista;BA;Faculdade;EAD - Superior / Presencial - Superior /;Privada;4;5;3;;Ativa
461;CENTRO UNIVERSITÁRIO ARMANDO ALVARES PENTEADO;Independentes;SP;320;FUNDACAO ARMANDO ALVARES PENTEADO;61.451.431/0001-69;Privada sem fins lucrativos;CENTRO UNIVERSITÁRIO ARMANDO ALVARES PENTEADO (FA-FAAP);FA-FAAP;Rua Alagoas - 903 - CEP: 01242-902 - HIGIENOPOLIS;São Paulo;SP;Centro Universitário;EAD - Superior / Presencial - Superior /;Privada;5;4;3;;Ativa
1030;Centro Universitário IBMEC;YDUQS;RJ;1223;IBMEC EDUCACIONAL LTDA.;04.298.309/0001-60;Privada com fins lucrativos;CENTRO UNIVERSITÁRIO IBMEC RIO DE JANEIRO (IBMEC RJ );IBMEC RJ;Avenida Armando Lombardi - 940 - CEP: 22640-000 - Barra da Tijuca;Rio de Janeiro;RJ;Centro Universitário;EAD - Superior / Presencial - Superior /;Privada;5;5;4;;Ativa
23331;ALFA - Faculdade de Teófilo Otoni;Independentes;MG;2371;INSTITUTO EDUCACIONAL ALFAUNIPAC S.A.;05.598.350/0001-15;Privada com fins lucrativos;ALFA - Faculdade de Teófilo Otoni (ALFA - TO);ALFA - TO;Rua Engenheiro Celso Murta - 600 - CEP: 39803-087 - Doutor Laerte Laender;Teófilo Otoni;MG;Faculdade;EAD - Superior /;Privada;;4;;;Ativa
1292;Centro Universitário de Adamantina;Independentes;SP;15990;FACULDADES ADAMANTINENSES INTEGRADAS;03.061.303/0001-02;Pessoa Jurídica de Direito Público - Municipal;Centro Universitário de Adamantina (FAI);FAI;Rua Nove de Julho - 730/40 - CEP: 17800-000 - CENTRO;Adamantina;SP;Centro Universitário;EAD - Superior / Presencial - Superior /;Publica;;;3;;Ativa
337;Centro Universitário Academia;Independentes;MG;235;ASSOCIACAO PROPAGADORA ESDEVA;21.562.368/0001-13;Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública;Centro Universitário Academia (Uniacademia);Uniacademia;Rua Halfeld - 1179 - CEP: 36010-972 - Centro;Juiz de Fora;MG;Centro Universitário;EAD - Superior / Presencial - Superior /;Privada;4;5;3;;Ativa
2613;Centro Universitário Estácio Meta de Rio Branco Estácio;YDUQS;AC;1897;UNIAO EDUCACIONAL META LTDA;04.952.095/0001-02;Privada com fins lucrativos;Centro Universitário Estácio Meta de Rio Branco Estácio (UNIMETA);UNIMETA;Estrada Alberto Torres - 947 - CEP: 69919-230 - Paz;Rio Branco;AC;Centro Universitário;Presencial - Superior /;Privada;5;5;3;Em Descredenciamento voluntário EAD;Ativa
2774;Centro Universitário UNIFAFIBE;Independentes;SP;96;ASSOCIACAO DE EDUCACAO E CULTURA DO NORTE PAULISTA;57.713.281/0001-47;Privada sem fins lucrativos;Centro Universitário UNIFAFIBE (FAFIBE);FAFIBE;Rua Professor Orlando França de Carvalho - 110/325 / 326 - CEP: 14701-070 - Centro;Bebedouro;SP;Centro Universitário;EAD - Superior / Presencial - Superior /;Privada;5;4;4;;Ativa
1281;FACULDADE DE CIÊNCIAS SOCIAIS E AGRÁRIAS DE ITAPEVA;Independentes;SP;855;SOCIEDADE CULTURAL E EDUCACIONAL DE ITAPEVA S/S LTDA;02.104.766/0001-41;Privada com fins lucrativos;Centro Universitário UniGrupoFAEF (FAIT);FAIT;Rodovia Francisco Alves Negrão (SP 258) - Km 285 - CEP: 18412-000 - Pilão d'Água;Itapeva;SP;Centro Universitário;Presencial - Superior;Privada;4;;3;;Ativa
2484;Centro Universitário Processus;Independentes;DF;14143;ASSOCIACAO EDUCACIONAL DOS TRABALHADORES DE BRASILIA;00.116.962/0001-00;Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública;Centro Universitário Processus (UNIPROCESSUS);UNIPROCESSUS;Avenida das Araucárias - 4.400 - CEP: 71936-250 - Águas Claras;Brasília;DF;Centro Universitário;EAD - Superior / Presencial - Superior /;Privada;5;5;3;;Ativa
3869;INSTITUTO FLORENCE DE ENSINO SUPERIOR;Independentes;MA;2440;INSTITUTO FLORENCE DE ENSINO SUPERIOR LTDA - ME;06.040.046/0001-10;Privada com fins lucrativos;INSTITUTO FLORENCE DE ENSINO SUPERIOR (IFES);IFES;Rua Rio Branco - 216 - CEP: 65020-470 - Centro;São Luís;MA;Faculdade;EAD - Superior / EAD - Lato-sensu / Presencial - Superior /;Privada;5;5;3;;Ativa
