tabela,n,secao,variavel,descricao,tipo,tamanho,categorias,observacao
cadastro_cursos,205,ESTATÍSTICAS DO CURSO,QT_MAT_PROCESCPUBLICA,Quantidade de matrículas de alunos que terminaram o ensino médio em escolas públicas,Num,8,,
cadastro_cursos,206,ESTATÍSTICAS DO CURSO,QT_MAT_PROCESCPRIVADA,Quantidade de matrículas de alunos que terminaram o ensino médio em escolas privadas,Num,8,,
cadastro_cursos,207,ESTATÍSTICAS DO CURSO,QT_MAT_PROCNAOINFORMADA,Quantidade de matrículas de alunos que não informaram o tipo de escola que terminaram o ensino médio,Num,8,,
cadastro_cursos,208,ESTATÍSTICAS DO CURSO,QT_CONC_PROCESCPUBLICA,Quantidade de concluintes que terminaram o ensino médio em escolas públicas,Num,8,,
cadastro_cursos,209,ESTATÍSTICAS DO CURSO,QT_CONC_PROCESCPRIVADA,Quantidade de concluintes que terminaram o ensino médio em escolas privadas,Num,8,,
cadastro_cursos,210,ESTATÍSTICAS DO CURSO,QT_CONC_PROCNAOINFORMADA,Quantidade de concluintes que não informaram o tipo de escola que terminaram o ensino médio,Num,8,,
cadastro_cursos,211,ESTATÍSTICAS DO CURSO,QT_PARFOR,Quantidade de alunos que participam do programa especial para a formação de professores em exercício na rede pública de educação básica (PARFOR),Num,8,,
cadastro_cursos,212,ESTATÍSTICAS DO CURSO,QT_ING_PARFOR,Quantidade de ingressantes que participam do programa especial para a formação de professores em exercício na rede pública de educação básica (PARFOR),Num,8,,
cadastro_cursos,213,ESTATÍSTICAS DO CURSO,QT_MAT_PARFOR,Quantidade de matrículas de alunos que participam do programa especial para a formação de professores em exercício na rede pública de educação básica (PARFOR),Num,8,,
cadastro_cursos,214,ESTATÍSTICAS DO CURSO,QT_CONC_PARFOR,Quantidade de concluintes que participam do programa especial para a formação de professores em exercício na rede pública de educação básica (PARFOR),Num,8,,
cadastro_cursos,215,ESTATÍSTICAS DO CURSO,QT_APOIO_SOCIAL,Quantidade de alunos que recebem algum tipo de apoio social,Num,8,,
